hnm_code,hn_exclusive,hn_premier,hn_advantage,hn_standard_plus,hn_standard,hn_basic_plus,hn_basic,essential_dental,provider_name,google_name,city,type,group_name,tel_no,area,location
M860,✔,✔,✔,✔,✔,✖,✖,✖,AL JARAF MEDICAL CENTER,Al Jurf Medical Center – Main Branch | مركز الجرف الطبي – الفرع الرئيسي,AJMAN,MEDICAL CENTER,-,06-7499766,Muroor,"Flat No: 105 & 106, Jurf, Beside Muroor, Ajman University, Ajman - UAE"
M534,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTRE AJMAN,"Aster Clinic, Nuaimiah, Ajman",AJMAN,MEDICAL CENTER,DM HEALTHCARE LLC,06-7314799,AJMAN,"Abdullah Mohammed Hamda Abu Shihab Bldg., Ajman"
M973,✔,✔,✔,✔,✔,✖,✖,✖,ASTER SPECIALIST MEDICAL CENTER,"Aster Speciality Clinic, Ajman",AJMAN,MEDICAL CENTER,DM HEALTHCARE LLC,06-5308057,Rashidia-3,"Al Manar Tower, Sheikh Rashid bin Humeed Street, Opp. Honda Showroom, Al Swan, Rashidia-3, Ajman-UAE"
M1061,✔,✔,✔,✔,✔,✔,✖,✖,AURA MEDICAL CENTER LLC,Aura Medical Center Llc,AJMAN,MEDICAL CENTER,-,06-5265455,JURF 2,"SHOP NO 21,JURF INDUSTRIAL ZONE 2,JURF 2, AJMAN"
M958,✔,✔,✔,✔,✔,✔,✖,✖,DEAR HEALTH MEDICAL CENTER,Dear Health Medical Centre,AJMAN,MEDICAL CENTER,DEAR HEALTH MEDICAL CENTER,06-7796622,RASHIDIYA 3,"1ST FLR,AL SWAN TOWER,SH RASHED BIN HUMAID AL NUAIMI STREET."
M881,✔,✔,✔,✔,✔,✔,✖,✖,EVE MEDICAL CENTER,Eve Medical Center Ajman,AJMAN,MEDICAL CENTER,-,06-7498042,AL JURF,"J1,106, Garden  City Buildings Opp.New Immigration Office Al Jurf, Ajman UAE, P.O. Box:8705"
M1139,✔,✔,✔,✔,✔,✔,✖,✖,FAMILY MEDICAL CENTER,Family Medical Center - مركز العائلة الطبي,AJMAN,MEDICAL CENTER,ANGLO ARABIAN HEALTHCARE,06-7434800,Al Zahra,"New industrial Area , Opp. Al Haramain Perfumes Factory,Al Zahra, Ajman"
M143,✔,✔,✔,✔,✖,✖,✖,✖,IBIN SINA MEDICAL CENTER,Ibin Sina Medical Center,AJMAN,MEDICAL CENTER,ANGLO ARABIAN HEALTHCARE,06-7457755,AL QUDS ROAD,"Al Quds Road, Opp. Arab Bank, P.O. Box: 4749"
M689,✔,✔,✔,✔,✔,✖,✖,✖,IBTESAM MEDICAL CENTER,Ibtesam Medical Center مركز ابتسام الطبي,AJMAN,MEDICAL CENTER,-,06 7312929,Al Rashidiya 3,"Andalus 1 Building, Flat 101, (Same bldg.. with Karachi Darbar Restaurant),Sheikh Khalifa Street, Ajman UAE"
M1062,✔,✔,✔,✔,✔,✔,✖,✖,MAPLE MEDICAL CENTER LLC,Maple Medical Center,AJMAN,MEDICAL CENTER,-,06-5955921,RAWDA-3,"MAPLE MEDICAL CENTER ,AL SALAM STREET,RAWDA-3,AJMAN"
M274,✔,✔,✔,✔,✔,✔,✖,✖,METRO MEDICAL CENTRE,Metro Medical Centre,AJMAN,MEDICAL CENTER,METRO MEDICAL CENTRE,06-7469694,AL NUAIMIA,"Al Nuaimia, P.O. Box 16168. Ajman, P.O. Box: 16168, Ajman"
M1084,✔,✔,✔,✔,✔,✖,✖,✖,NASEEM ALMANAMA SPECIALIZED CENTER,Naseem Al Manama Specialized Center,AJMAN,MEDICAL CENTER,-,06-5334455,ALMANAMA,"ALMANAMA ,ALNAKEEL -SHK RASHED BIN HUMAID ST, AJMAN"
M1140,✔,✔,✔,✔,✔,✔,✖,✖,NEW IBINSINA MEDICAL CENTER,New Ibin Sina Medical Center,AJMAN,MEDICAL CENTER,ANGLO ARABIAN HEALTHCARE,06-7413330,Al Jurf,"CANADIAN BUILDING,SHEIK RASHID BIN HUMAID 1ST STREET, AL JURF , AJMAN"
M769,✔,✔,✔,✔,✔,✖,✖,✖,NMC MEDICAL CENTER AJMAN LLC,Nmc Medical Centre Ajman,AJMAN,MEDICAL CENTER,NMC HEALTHCARE,06-7147666,Rashidiya,"Near Safeer Market, Samha Plaza, Rashidiya, Ajman,P.O. Box: 64684"
M664,✔,✔,✔,✔,✔,✖,✖,✖,PRIME MEDICAL CENTER AJM-LLC,Prime Medical Center - Ajman,AJMAN,MEDICAL CENTER,PRIME HEALTHCARE GROUP LLC,04-6079872,AL RASHIDIYAH,GROUND FLOOR GRAND MALL SHEIKH KHALIFA BIN ZAYED STREET AJMAN U.A.E
M1235,✔,✔,✔,✔,✔,✖,✖,✖,SEHA MEDICAL CENTER,Seha Medical Center,AJMAN,MEDICAL CENTER,-,06-7404045,NUAIMIYA-1,"NUAIMIYA-1, AL ITTEHAD RD., AJMAN"
M1267,✔,✔,✔,✔,✔,✔,✔,✔,WELLCURE MEDICAL CENTRE L.L.C,Wellcure Medical Center,AJMAN,MEDICAL CENTER,-,0507453458,AL JURF,"INDUSTRIAL AREA 3, JURF, NEXT TO ZAFRAN SUPERMARKET, AJMAN, UAE"
H126,✔,✔,✖,✖,✖,✖,✖,✖,Mediclinic Hospitals L.L.C.  - Branch 4- Al Ain,Mediclinic Al Jowhara Hospital,AL AIN,HOSPITAL,MEDICLINIC - AL NOOR GROUP,03-7051591,CIVIC CENTER,"Flat No. 4, Al Noor Hospital Al Jowhara, Civic center, Al Ain, UAE"
H024,✔,✔,✖,✖,✖,✖,✖,✖,Mediclinic Hospitals L.L.C.-Branch 1- AL AIN (Formerly Al Noor Hospital -Al Ain (Al Noor)),Mediclinic Al Ain Hospital,AL AIN,HOSPITAL,MEDICLINIC - AL NOOR GROUP,03-7667666,AL AIN HOSPITAL,"Sheik Khalifa St. behind Choithram Supermarket, P.O. Box: 14444"
H032,✔,✔,✔,✔,✔,✖,✖,✖,NMC SPECIALTY HOSPITAL - AL AIN,Nmc Specialty Hospital - Al Ain,AL AIN,HOSPITAL,NMC HEALTHCARE,03-7555999,AL MUTAREDH,"Jimi Area, Opp. Police HQ, behind UAE University , P.O. Box: 84142"
OTH250,✔,✔,✔,✔,✔,✖,✖,✖,ALBAHRI DENTAL ORTHO CENTER LLC,"Al Bahri Dental & Orthodontic Center, Al-Ain",AL AIN,MEDICAL CENTER,AL BAHRI DENTAL GROUP,03-7643273,TOWN CENTER,"Sheikh Zayed Bin Sultan St., Bldg. 105, Town Center, Al Ain, UAE"
OTH146,✔,✔,✔,✔,✔,✖,✖,✖,ORIS DENTAL CENTER,Oris Dental Center مركز أوريس للأسنان,AL AIN,MEDICAL CENTER,-,03-7370017,UD ALTOBA,"Al ain -oud altoba, near first gulf bank ,Arabic tailor building,2nd F, OUD ALTOBA"
OTH237,✔,✔,✔,✔,✔,✖,✖,✖,SAMA TABRIZI DENTISTRY L.L.C,Tabrizi Dentistry - Main Branch - Al Ain,AL AIN,MEDICAL CENTER,TABRIZI DENTISTRY,03-7661178,AL MUWAIJI,"Oud Bin Saghan St., Al Muwaiji, Al Ain"
M676,✔,✔,✖,✖,✖,✖,✖,✖,AL NOOR HOSPITAL CLINICS- AL AIN- BRANCH6,Mediclinic Al Yahar,AL AIN,MEDICAL CENTER,MEDICLINIC - AL NOOR GROUP,03-7133401,YAHAR,"P.O BOX 14444 SHEIKH SALEM AL AMRI BLDG, AL YAHAR NORTH, AL AIN ABU DHABI"
M703,✔,✔,✔,✔,✔,✔,✖,✖,AL RANEEN MEDICAL CENTRE,"Al Raneen Primary Care Centre - Al Ain , Uae",AL AIN,MEDICAL CENTER,-,037655602,AL AIN TOWN CENTRE,"Lucky Plaza Building, M2 floor, Town center , Al Ain Toown Center, Al AIN"
M1021,✔,✔,✔,✔,✔,✔,✖,✖,ALBA SMILE MEDICAL CENTER - BRANCH,Alba Smile Asharj- ألبا سمايل عشارج,AL AIN,MEDICAL CENTER,New look Medical center group,03-7857988,Al Wiqan,"Al Wiqan , P.O. Box:88370,UAE - AL AIN"
M1100,✔,✔,✔,✔,✔,✔,✖,✖,ARABIAN SPECIALIST MEDICAL CENTER L.L.C,المركز العربي التخصصي,AL AIN,MEDICAL CENTER,-,03-7663111,AL MUWAIJI,"33RD STREET OUD BIN SAGHAN , AL MUWAIJI ,ALAIN"
M872,✔,✔,✔,✔,✔,✔,✖,✖,ARABIC CANADIAN MEDICAL CENTER,Arabic Canadian Medical Center,AL AIN,MEDICAL CENTER,-,03-7229660,Al Mutaredh,"P.O BOX : 67177, 8th street, Al Mutaredh, Alain, Opposite to Al Jahili school, Abudhabi"
M190,✔,✔,✖,✖,✖,✖,✖,✖,CLINICS - MEDICLINIC HOSPITALS L.L.C. - BRANCH 5,Mediclinic Al Madar,AL AIN,MEDICAL CENTER,MEDICLINIC - AL NOOR GROUP,03-7628899,MUWAIJI,"Near Al Jimi Mall, Besides Dubai Islamic Bank-Al Jowhara, Al Ain"
M530,✔,✔,✖,✖,✖,✖,✖,✖,Clinics - Mediclinic Hospitals LLC Branch 10,Mediclinic Bawadi,AL AIN,MEDICAL CENTER,MEDICLINIC - AL NOOR GROUP,03-7667666,AL BAWADI MALL,"Ground & 1st Floor, Al Bawadi Mall bldg., Zayed Bin Sultan Street, Al Ain"
M668,✔,✔,✖,✖,✖,✖,✖,✖,Clinics-Mediclinic Hospitals LLC-Branch6,Mediclinic Zakher,AL AIN,MEDICAL CENTER,MEDICLINIC - AL NOOR GROUP,03-7375558,ZAKHER,"Near Al Ain Paradise Park, Zakher, Al Ain"
M895,✔,✔,✔,✔,✔,✔,✖,✖,LAURETTE MEDICAL CENTRE,Lauretta Medical Center,AL AIN,MEDICAL CENTER,New look Medical center group,03-7663660,Al Ghail Compound,"AL AIN - Al Ghail Compound- Al Mutared District- 16th Street, P.O. Box:88370"
M863,✔,✔,✔,✔,✔,✔,✖,✖,NAZEK MEDICAL CENTER,Nazek Medical Center,AL AIN,MEDICAL CENTER,Trust Vision Investment L.L.C,03-7550009,"Ashraj, Al ain","Street No18, in front of Markaniya Mall, Ashraj,  P.O. Box:19160, AL AIN -UAE"
M896,✔,✔,✔,✔,✔,✔,✖,✖,NEW LOOK MEDICAL CENTER L.L.C. - BRANCH 1,New Look Medical Center,AL AIN,MEDICAL CENTER,Trust Vision Investment L.L.C,03-7857988,Extramall,"AL AIN  -  INSIDE EXTRAMALL, P.O. Box:88370"
M897,✔,✔,✔,✔,✔,✔,✖,✖,NEW LOOK MEDICAL CENTER L.L.C. - BRANCH 2,New Look Medical Center,AL AIN,MEDICAL CENTER,Trust Vision Investment L.L.C,03-7857988,Sheik hazza stadium,FORNT OF sheik hazza stadium AREA  AL AIN -UAE
M898,✔,✔,✔,✔,✔,✔,✖,✖,NEW LOOK MEDICAL CENTER L.L.C. - BRANCH 3,New Look Medical Center Alamra,AL AIN,MEDICAL CENTER,Trust Vision Investment L.L.C,03-7857988,AL YAHAR,"AL YAHAR, P.O. Box:88370, UAE - AL AIN"
M1229,✔,✔,✔,✔,✔,✖,✖,✖,REAL HEALTH CENTER,Real Health Medical Center,AL AIN,MEDICAL CENTER,-,03-7010100; 03-7010101,AL MUTARID,"St. 128, Rotana hotel R/A, Opp Sheikh Khalifa Palace, Al Mutarid, Al Ain"
M1183,✔,✔,✔,✔,✔,✔,✖,✖,TRUE LIFE PRIMARY CARE CENTER - SOLE PROPRIETORSHIP LLC,True Life Speciality Hospital,AL AIN,MEDICAL CENTER,Trust Vision Investment L.L.C,03-7854443,KHALIFA,"Plot No 230, Mohamed Thaaloob Salem Hamad Alderei Building, KHALIFA IBN ZAYED AL AWWAL Street, Sanai"
M698,✔,✔,✔,✔,✔,✖,✖,✖,Ultra Medical Center,Ultra Medical Center Llc,AL AIN,MEDICAL CENTER,-,03 7625552,Al Jimi Mall,"Street#2 Villa#20, AL Jimi Al Ain"
M1025,✔,✔,✔,✔,✔,✔,✖,✖,WLDY MEDICAL CENTER,Wldy Medical Center,AL AIN,MEDICAL CENTER,Trust Vision Investment L.L.C,03-7857988,AAMRIYA,"AL AAMRIYA , P.O. Box:88370,UAE – AL AIN"
H030,✔,✔,✖,✖,✖,✖,✖,✖,MEDICLINIC CITY HOSPITAL,Mediclinic City Hospital,DHCC,HOSPITAL,MEDICLINIC GROUP,04-4359999,DUBAI HEALTHCARE CITY,"Building # 37,Dubai Health Care City - Dubai"
L028,✔,✔,✔,✔,✔,✖,✖,✖,MEDINOVA DIAGNOSTIC CENTER,"Aster Medinova Diagnostic Centre, Burdubai",DUBAI,DIAGNOSTIC CENTER,DM HEALTHCARE LLC,04-3936396,BUR DUBAI,"Opp. Fisher Hotel, above Union pharmacy, Bur Dubai , P.O. Box: 26167"
H046,✔,✔,✔,✔,✔,✖,✖,✖,AL GARHOUD PRIVATE HOSPITAL,Hms Al Garhoud Hospital,DUBAI,HOSPITAL,AL HILAL GROUP,04-4545000,AL GARHOUD,"Garhoud Area, P.O. Box: 36868"
M037,✔,✔,✔,✔,✖,✖,✖,✖,AL MOUSA DAY SURGERY CENTER,Al Moosa Clinics & Day Surgery Center الموسى لجراحات اليوم الواحد,DUBAI,HOSPITAL,-,04-3450745,JUMEIRAH,"Al Wasl Street, P.O. Box: 73633"
L079,✔,✔,✔,✔,✔,✖,✖,✖,ASTER DAY SURGERY CENTRE LLC,Aster Day Surgery Center,DUBAI,HOSPITAL,DM HEALTHCARE LLC,04-3814987,MANKHOOL,"8703 , GROUND FLOOR,AL RAFFA BUR DUBAI, DUBAI UAE"
H142,✔,✔,✔,✔,✔,✖,✖,✖,ASTER HOSPITAL BR OF ASTER DM HEALTHCARE FZC- Al Qusais,"Aster Hospital, Al Qusais",DUBAI,HOSPITAL,DM HEALTHCARE LLC,04-3766888,Al Qusais,"ASTER HOSPITAL BR OF ASTER DM HEALTHCARE, 9 A Street, Al Qusais Industrial Area 2, P.O. Box:119428"
H105,✔,✔,✔,✔,✔,✖,✖,✖,ASTER HOSPITAL- Mankhool,Aster Hospital - Mankhool,DUBAI,HOSPITAL,DM HEALTHCARE LLC,04-3814800,BUR DUBAI,"Kuwait Street, Mankhool, Next to Sharaf DG, Bur Dubai, P.O. Box: 8703, Dubai"
H163,✔,✔,✔,✔,✔,✖,✖,✖,ASTER HOSPITAL SONAPUR,Aster Hospital Sonapur,DUBAI,HOSPITAL,DM HEALTHCARE LLC,04-4400500,Muhaisnah,"ALGERIA STREET, MUHAISNAH"
H021,✔,✔,✔,✔,✔,✖,✖,✖,BELHOUL SPECIALITY HOSPITAL L.L.C.,Belhoul Speciality Hospital Llc Deira,DUBAI,HOSPITAL,BELHOUL GROUP,04-2733333,AL KHALEEJ,"Al Khaleej Road near Dubai Hospital, P.O. Box: 5527, Dubai"
M075,✔,✔,✔,✔,✔,✖,✖,✖,CEDARS JEBEL ALI INTERNATIONAL HOSPITAL,"Aster Cedars Hospital, Jebel Ali",DUBAI,HOSPITAL,DM HEALTHCARE LLC,04-8814000,JAFZA,"Jebel Ali Free Zone , P.O. Box: 17666"
M038,✔,✔,✔,✔,✔,✖,✖,✖,DR. MOOPEN POLYCLINIC BR OF DM HEALTHCARE,Dr.Moopen Polyclinic (Aster Medical Centre - Deira),DUBAI,HOSPITAL,DM HEALTHCARE LLC,04-2979000,MUTEENA,"Ground & Mezanine Floor, Shop No. 2 & 3, Al Ghurair Real Estate Bldg., Al Muteena, P.O. Box: 8703 Dubai"
H0158,✔,✔,✔,✔,✔,✖,✖,✖,DUBAI MEDICAL UNIVERSITY HOSPITAL,Dubai Medical University Hospital,DUBAI,HOSPITAL,S.S LOOTAH,04-2120000,MUHASINAH 1,"DUBAI MEDICAL UNIVERSITY HOSPITAL, P.O BOX: 19996 MUHASINAH 1, DUBAI, UAE"
H168,✔,✔,✖,✖,✖,✖,✖,✖,Fakeeh University Hospital,Fakeeh University Hospital,DUBAI,HOSPITAL,Dr. Soliman Fakeeh Academic Medical Centre FZCO,04 414 4444,Dubai Silicon Oasis,"15006, Fakeeh University Hospital Building Nadd Hessa, Dubai Silicon Oasis"
H161,✔,✔,✔,✖,✖,✖,✖,✖,Gargash Hospital LLC,Gargash Hospital,DUBAI,HOSPITAL,Gargash Hospital LLC,04-7030000,Um Al Sheif,"Umm Suqeim road,Um Al Sheif"
H011,✔,✔,✔,✖,✖,✖,✖,✖,IRANIAN HOSPITAL,Iranian Hospital - Dubai,DUBAI,HOSPITAL,IRANIAN HOSPITAL,04-3440250,JUMEIRAH,"AL Wasl Road , P.O. Box: 2330"
H029,✔,✔,✔,✖,✖,✖,✖,✖,MEDCARE HOSPITAL,Medcare Hospital Al Safa,DUBAI,HOSPITAL,MEDCARE GROUP,04-4079100,JUMEIRAH,"Opp. Safa Park, Gate # 1, Jumeirah, P.O. Box: 215565"
H044,✔,✔,✔,✖,✖,✖,✖,✖,MEDCARE ORTHOPAEDICS AND SPINE HOSPITAL,Medcare Orthopaedics And Spine Hospital,DUBAI,HOSPITAL,MEDCARE GROUP,04-3768400,JUMEIRAH,"Sheikh Zayed Road, after 2nd Interchange, P.O. Box: 215565"
H125,✔,✔,✔,✖,✖,✖,✖,✖,MEDCARE WOMEN AND CHILD HOSPITAL BR OF MEDCARE HOSPITAL,Medcare Women And Children Hospital,DUBAI,HOSPITAL,MEDCARE GROUP,04-3010758,AL SAFA,"Near Noor Islamic Bank, Sheikh Zayed Road, Al Safa 2, Po,Box:215565"
M192,✔,✔,✖,✖,✖,✖,✖,✖,MEDICLINIC DUBAI MALL,Mediclinic Dubai Mall,DUBAI,HOSPITAL,MEDICLINIC GROUP,04-4495111,DUBAI MALL,"The Dubai Mall, Fashion Car Park Level 7, inside Level 2 near Sharaf DG & LG, P.O. Box: 123812"
H141,✔,✔,✖,✖,✖,✖,✖,✖,MEDICLINIC PARKVIEW HOSPITAL LLC,Mediclinic Parkview Hospital,DUBAI,HOSPITAL,MEDICLINIC GROUP,04-4168851,Al Barsha,"Al Barsha South Third Dubai UAE, P.O. Box:51122"
H016,✔,✔,✖,✖,✖,✖,✖,✖,MEDICLINIC WELCARE HOSPITAL,Mediclinic Welcare Hospital Wellness Centre,DUBAI,HOSPITAL,MEDICLINIC GROUP,04-2827788,AL GARHOUD,"Garhood Area, Opp. Airport Hotel , P.O. Box: 31500, Dubai"
H167,✔,✔,✖,✖,✖,✖,✖,✖,MIRDIF PRIVATE HOSPITAL,Hms Mirdif Hospital,DUBAI,HOSPITAL,AL HILAL GROUP,800467,AL MIZHAR,"AL MIZHAR, DUBAI"
H089,✔,✔,✔,✔,✖,✖,✖,✖,NMC ROYAL HOSPITAL LLC(DXB),"Nmc Royal Hospital & Pharmacy, Dip",DUBAI,HOSPITAL,NMC HEALTHCARE,04-8108800,DIP,"Dubai Investment Park, DIP 1 Residential Zone, Plot No. 5981220, P.O. Box: 7832, Dubai"
H025,✔,✔,✔,✔,✖,✖,✖,✖,NMC SPECIALTY HOSPITAL - DXB,Nmc Specialty Hospital Al Nahda,DUBAI,HOSPITAL,NMC HEALTHCARE,04-2122599,AL NAHDA,"Amman Street, Al Nahda 2 ,Nmc  Specialty Hospital ,Dubai"
H051,✔,✔,✖,✖,✖,✖,✖,✖,SAUDI GERMAN HOSPITAL,Saudi German Hospital | Sgh Dubai,DUBAI,HOSPITAL,SAUDI GERMAN HOSPITAL,04-3890000,AL BARSHA,"Opposite American School of Dubai, Hessa Street 331 West, Barsha 3, P.O. Box: 6564"
OTH231,✔,✔,✔,✔,✔,✖,✖,✖,VASAN EYE MULTISPECIALTY DAY SURGICAL CENTER,Vasan Eye & Multispeciality Dsc,DUBAI,HOSPITAL,-,04-3579444,AL KARAMA,"ZABEEL PLAZA BUILDING, ZABEEL ROAD, AL KARAMA, DUBAI-UAE"
M1050,✔,✔,✖,✖,✖,✖,✖,✖,24 HOURS DENTAL CLINIC LLC,24 Hours Dental Clinic,DUBAI,MEDICAL CENTER,The Dental house,04-3554466,SHEIKH ZAYED ROAD,"OFFICE #602 COMMERCIAL TOWER, CROWNE PLAZA HOTEL, SHEIKH ZAYED ROAD, DUBAI"
M1051,✔,✔,✖,✖,✖,✖,✖,✖,ACHIRA CLINICS,Achira Clinics - Deira,DUBAI,MEDICAL CENTER,-,04-2238513,Al RIGGA  ST,"AL RIGGA BUSINESS CENTER –IBIS HOTEL UNIT 5002, 5TH FLOOR , DEIRA DUBAI"
M1028,✔,✔,✖,✖,✖,✖,✖,✖,AL DEHYAFA SPECIALIZED ORTHODONTIC AND DENTAL CLINIC (MAIN),عيادة الضيافة التخصصيه لتقويم وطب الأسنان فرع الوصل Al Dehyafa Specialized Orthodontic & Dental Clinic Al Wasl,DUBAI,MEDICAL CENTER,AL DEYAFA CLINIC,04-3434342,Al Wasl road,"JUMEIRA FIRST – 332 AL WASL ROAD, BUILDING NO. 262, DUBAI UAE"
M1029,✔,✔,✖,✖,✖,✖,✖,✖,AL DEHYAFA SPECIALIZED ORTHODONTIC AND DENTAL CLINIC BRANCH,Al Dehyafa Dental Clinic,DUBAI,MEDICAL CENTER,AL DEYAFA CLINIC,04-3434342,AL MINA ROAD,"AL HUDAIBA AWARD BUILDING, AL MINA ROAD, BLOCK B ROOM 315 , DUBAI"
M954,✔,✔,✔,✔,✔,✖,✖,✖,AL LUBNANI MEDICAL CENTER LLC – DUBAI BRANCH,Al Lubnani Medical Center Llc – Dubai Branch,DUBAI,MEDICAL CENTER,-,04-2288766,Al Barsha,"Elite Business Building 6th Floor, 605 Wing, Al Barsha,Dubai."
OTH235,✔,✔,✔,✖,✖,✖,✖,✖,APEX DENTAL & ORTHODONTIC CLINIC L.L.C,Apex Dental Clinic -Jvc,DUBAI,MEDICAL CENTER,APEX MEDICAL GROUP,04-2407333,JVC,"A504, 5th Floor, Tower A, Prime Business Center, JVC"
OTH234,✔,✔,✔,✖,✖,✖,✖,✖,APEX DENTAL AND IMPLANT CLINIC,Apex Clinics - Silicon Oasis,DUBAI,MEDICAL CENTER,APEX MEDICAL GROUP,04-4228562 / 04-360881,DUBAI SILICON OASIS,"Shop No 4, Binghatti Vista, Near Hotel Premier Inn, Dubai Silicon Oasis"
M1039,✔,✔,✖,✖,✖,✖,✖,✖,Bella Vita Medical Center,Bella Vita Medical Center,DUBAI,MEDICAL CENTER,-,04 2613301,MIRDIF,"Mirdif 35 Mall, 2nd floor Office 208,60 C Street, Mirdif Dubai - UAE"
M1037,✔,✔,✔,✔,✔,✖,✖,✖,BRIGHT SMILE DENTAL AND ORTHODONTIC CENTER,Bright Smile Dental And Orthodontic Cente,DUBAI,MEDICAL CENTER,-,04-3449675,Al Wasl Road,"Al shafar Building 7 - Apartment 105, First Floor - Al Wasl Rd - , P.O. Box:252189,Dubai- UAE"
M1030,✔,✔,✖,✖,✖,✖,✖,✖,BWELL WELLNESS CENTER,Bwell Wellness Center L.L.C,DUBAI,MEDICAL CENTER,-,04-3554449,DUBAI,"2ND DECEMBER STREET, AL FARDAN BUILDING, FLAT 204, DUBAI"
M1036,✔,✔,✔,✔,✔,✖,✖,✖,DENTAL CLUB CLINIC,Dental Club Clinic,DUBAI,MEDICAL CENTER,-,04-2524343,Al Mizhar 1,"Khartoum street, Al Mizhar 1, Aswaaq mall- Dubai, P.O. Box:233886"
M1071,✔,✔,✖,✖,✖,✖,✖,✖,DR FATHI OMARA MEDICAL POLYCLINIC DENTAL CLINIC,Dr Fathi Omara Medical Polyclinic Dental Clinic,DUBAI,MEDICAL CENTER,-,04-2660020,Al Muteena,"First investor Al Muteena street 76  , Apartment number M02 , P.O. Box:4850, DUBAI"
OTH224,✔,✔,✔,✔,✔,✖,✖,✖,DR SG POLY CLINIC,Dr. Sai Ganesh Clinic - Karama,DUBAI,MEDICAL CENTER,DR. SAI GANESH GROUP,04-2717500,Karama,"CRYSTAL BUSINESS CENTRE BUILDING, R00M 105, NEAR ADCB METRO STATION, KARAMA,DUBAI"
M1077,✔,✔,✔,✔,✔,✖,✖,✖,DR. JOY DENTAL CLINIC LLC - BRANCH- Burjuman,"Dr. Joy Dental Clinic, Burjuman",DUBAI,MEDICAL CENTER,DR.JOY DENTAL CLINIC,04-3555357,AL MANKHOOL,"Burjuman Business Tower, 10th Floor Unit 1003, Dubai, UAE"
M1079,✔,✔,✔,✔,✔,✖,✖,✖,DR. JOY DENTAL CLINIC LLC BRANCH- MIRDIF,"Dr. Joy Dental Clinic, Mirdif Central Mall",DUBAI,MEDICAL CENTER,DR.JOY DENTAL CLINIC,04-2845722,MIRDIF,"No. 15 Central Building, Mirdif, Dubai, UAE"
M1080,✔,✔,✔,✔,✔,✖,✖,✖,DR. JOY DENTAL CLINIC LLC BRANCH-Umm Suquim,"Dr. Joy Dental Clinic, Umm Suqeim Pediatric & Orthodontic Center",DUBAI,MEDICAL CENTER,DR.JOY DENTAL CLINIC,04-3468333,Umm Suquim-2,"Villa No. 1041, Obaid Bin Jarsh Villa, Al Wasl Rd., Umm Suquim-2, Al Manara, Jumeirah, Dubai, UAE"
OTH229,✔,✔,✔,✔,✔,✖,✖,✖,DR. JOY DENTAL CLINIC-DSO Br,"Dr. Joy Dental Clinic, Dubai Silicon Oasis",DUBAI,MEDICAL CENTER,DR.JOY DENTAL CLINIC,04-3201307,"Souq Extra, AL BADA,","Plot-12-007-Souq Extra II-1- Ret-13, Plot-12-007-Souq Extra II-1- Ret-14 , Souq Extra, AL BADA, DUBAI"
M1003,✔,✔,✖,✖,✖,✖,✖,✖,DR. MANSOORI CLINIC,Dr. Mansoori Clinic,DUBAI,MEDICAL CENTER,-,04-2989995,"PORT SAEED, DEIRA","#103 1ST FLOOR ZEENAH BLDG., PORT SAEED AREA, DEIRA, DUBAI"
OTH249,✔,✔,✔,✔,✔,✖,✖,✖,DR. MOHAMED RAFI DENTAL CLINIC,Dr. Mohamed Rafi Dental Clinic,DUBAI,MEDICAL CENTER,-,04-3797934,SATWA,"13, 2nd FLOOR, AL SATWA BLDG., SATWA, DUBAI"
M1049,✔,✔,✖,✖,✖,✖,✖,✖,DR. MOHANNAD DENTAL CLINIC,Dr. Mohannad Dental Clinic,DUBAI,MEDICAL CENTER,The Dental house,04-2899441,RAS AL KHOR,"1st FLOOR, BIN SOUGAT BUILDING, OFFICE #7, NAD AL HAMMAR ROAD,RAS AL KHOR AREA, DUBAI"
OTH200,✔,✔,✔,✔,✔,✖,✖,✖,DR. SAI GANESH  MEDICAL CENTRE LLC-DEIRA,Dr. Sai Ganesh Medical Center - Deira,DUBAI,MEDICAL CENTER,DR. SAI GANESH GROUP,04-2560866,DEIRA- DNATA,"SUIT NO:203,SAPHIRE TOWER,PORT SAEED,DEIRA,DUBAI"
M1067,✔,✔,✔,✔,✔,✖,✖,✖,DRS.NICOLAS AND ASP CENTRE – JUMEIRAH,Drs. Nicolas & Asp Dental Centers – Jumeirah,DUBAI,MEDICAL CENTER,DRS. NICOLAS & ASP GROUP,04-3947777,JUMEIRAH 3,"VILLA 446, JUMEIRAH BEACH ROAD, JUMEIRAH 3, DUBAI, UAE"
OTH145,✔,✔,✔,✖,✖,✖,✖,✖,DUBAI LONDON CLINIC BRANCH- AL WASL BR,Dubai London Clinic And Speciality Hospital,DUBAI,MEDICAL CENTER,DUBAI LONDON CLINIC,04-3782914,Umm Suqeim 2,"VILLA 440A, AL WASL ROAD, JUMEIRAH 2, DUBAI"
M1068,✔,✔,✔,✔,✔,✖,✖,✖,EUROPEAN UNIVERSITY COLLEGE FZ-LLC,European Universal Clinic,DUBAI,MEDICAL CENTER,DRS. NICOLAS & ASP GROUP,04-3624788,DHCC,"BLOCK D, BIN SINA BUILDING, 3RD FLOOR, HEALTH CARE CITY, DUBAI, UAE"
